ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,N_VICTIMAS,FECHA_SINIESTRO,HORA_SINIESTRO,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,PARTICIPANTES,ACUSADO,ID,Year,Rango_Edad
Conductor,Moto,Masculino,29,2016-08-10,1,2016-08-10,23:37:00,23,Av Eva Peron Y Jose Leon Suarez,Avenida,9,-58.50011639,-34.67316502,Moto-Cargas,Cargas,73,2016,21-40
Conductor,Moto,Masculino,21,2016-08-15 00:00:00,1,2016-08-14,21:15:00,21,Zinny Y Av Santiago De Compostela,Avenida,9,-58.46635001,-34.65624369,Moto-Pasajeros,Pasajeros,74,2016,21-40
Peaton,Peaton,Masculino,19,2016-08-26 00:00:00,1,2016-08-17,00:05:00,0,Av Federico Lacroze Y Fraga,Avenida,15,-58.45343236,-34.58435809,Peaton-Pasajeros,Pasajeros,75,2016,1-20
Peaton,Peaton,Masculino,38,2016-08-19,1,2016-08-19,21:02:00,21,Carlos Pellegrini Y Av Del Libertador,Avenida,1,-58.38090932,-34.58927731,Peaton-Pasajeros,Pasajeros,76,2016,21-40
Conductor,Moto,Masculino,21,2016-08-20,1,2016-08-20,08:22:00,8,Autopista 9 De Julio Sur Alt Av Mendoza,Autopista,4,-58.37157668,-34.65429986,Moto-Auto,Auto,77,2016,21-40
Conductor,Auto,Femenino,53,2016-08-24 00:00:00,1,2016-08-24,05:45:00,5,Autopista Perito Moreno Y Barragan,Autopista,9,-58.52280139,-34.63659934,Auto-Objeto Fijo,Objeto Fijo,78,2016,41-60
Conductor,Moto,Masculino,27,2016-08-25 00:00:00,1,2016-08-25,09:30:00,9,Autopista Leopoldo Lugones Y La Pampa,Autopista,15,-58.47461905,-34.57663634,Moto-Cargas,Cargas,79,2016,21-40
Conductor,Moto,Masculino,24,2016-08-27 00:00:00,1,2016-08-27,04:40:00,4,Autopista 25 De Mayo Autopista 1 Sur Arturo Frondizi,Autopista,1,-58.38268809,-34.62282019,Moto-Objeto Fijo,Objeto Fijo,80,2016,21-40
Peaton,Peaton,Femenino,60,2016-08-27,1,2016-08-27,16:45:00,16,Av Juan Bautista Alberdi Y Guardia Nacional,Avenida,9,-58.49603546,-34.64564271,Peaton-Pasajeros,Pasajeros,81,2016,61-90
Ciclista,Bicicleta,Femenino,55,2016-08-31 00:00:00,1,2016-08-31,11:20:00,11,Salguero 1410,Calle,14,-58.41848605,-34.59394733,Bicicleta-Cargas,Cargas,82,2016,41-60
Conductor,Moto,Masculino,30,2016-09-02 00:00:00,1,2016-09-02,20:20:00,20,Av 27 De Febrero Y Av Escalada,Avenida,8,-58.44451316,-34.68475866,Moto-Auto,Auto,83,2016,21-40
Conductor,Auto,Masculino,43,2016-09-03,1,2016-09-03,15:30:00,15,Av Del Libertador Y Tagle,Avenida,14,-58.39936478,-34.58271474,Auto-Auto,Auto,84,2016,41-60
Conductor,Auto,Masculino,27,2016-09-04 00:00:00,1,2016-09-04,03:30:00,3,Autopista 1 Sur Pte Arturo Frondizi Km 2.9,Autopista,1,-58.37936704,-34.62694503,Auto-Auto,Auto,85,2016,21-40
Ciclista,Bicicleta,Masculino,49,2016-09-13 00:00:00,1,2016-09-13,07:10:00,7,Av Eva Peron 4233,Avenida,9,-58.47256391,-34.65194557,Bicicleta-Pasajeros,Pasajeros,86,2016,41-60
Conductor,Moto,Femenino,58,2016-09-14,1,2016-09-14,09:00:00,9,Av Asamblea Y Av Cnel Esteban Bonorino,Avenida,7,-58.45130953,-34.64053676,Moto-Auto,Auto,87,2016,41-60
Peaton,Peaton,Masculino,67,2016-09-16,1,2016-09-16,15:24:00,15,Avda Rivadavia Y Rivera Indarte,Avenida,7,-58.46271207,-34.62884871,Peaton-Pasajeros,Pasajeros,88,2016,61-90
Conductor,Moto,Masculino,30,2016-09-17,1,2016-09-17,12:14:00,12,Autopista Perito Moreno Y Av Juan B Alberdi,Autopista,10,-58.49020869,-34.64243791,Moto-Moto,Moto,89,2016,21-40
Conductor,Auto,Masculino,37,2016-09-18,2,2016-09-18,22:45:00,22,Irigoyen Y Tinogasta,Calle,10,-58.52572109,-34.62125906,Auto-Cargas,Cargas,90,2016,21-40
Pasajero_Acompañante,Auto,Masculino,60,2016-09-18,2,2016-09-18,22:45:00,22,Irigoyen Y Tinogasta,Calle,10,-58.52572109,-34.62125906,Auto-Cargas,Cargas,91,2016,61-90
Peaton,Peaton,Masculino,50,2016-09-24,1,2016-09-24,10:25:00,10,Av Mariano Acosta Y Av Cnel Roca,Avenida,8,-58.44094791,-34.66677111,Peaton-Pasajeros,Pasajeros,92,2016,41-60
Peaton,Peaton,Femenino,81,2016-10-02 00:00:00,1,2016-10-02,11:30:00,11,Castro Y Av Pavon,Avenida,5,-58.41914024,-34.63053890,Peaton-Pasajeros,Pasajeros,93,2016,61-90
Conductor,Moto,Masculino,29,2016-10-04 00:00:00,1,2016-10-04,12:30:00,12,Autopista 9 De Julio Sur Y Av Brasil,Autopista,1,-58.37910942,-34.62764717,Moto-Cargas,Cargas,94,2016,21-40
Peaton,Peaton,Masculino,35,2016-10-09,1,2016-10-09,19:13:00,19,Mirave 3500,Calle,4,-58.39871183,-34.64539318,Peaton-Auto,Auto,95,2016,21-40
Pasajero_Acompañante,Auto,Masculino,30,2016-10-10 00:00:00,1,2016-10-10,02:30:00,2,Av San Juan Y 24 De Noviembre,Avenida,3,-58.41036975,-34.62477021,Auto-Pasajeros,Pasajeros,96,2016,21-40
Conductor,Moto,Masculino,41,2016-10-25 00:00:00,1,2016-10-14,00:05:00,0,Av Las Heras Y Sanchez De Bustamante,Avenida,14,-58.40204698,-34.58342690,Moto-Auto,Auto,97,2016,41-60
Conductor,Moto,Masculino,25,2016-10-23 00:00:00,1,2016-10-23,05:00:00,5,Av Piedra Buena Y 2 De Abril 1982,Avenida,8,-58.48935287,-34.67648597,Moto-Objeto Fijo,Objeto Fijo,98,2016,21-40
Conductor,Moto,Sd,42,2016-10-25,1,2016-10-25,00:00:00,0,Au Buenos Aires - La Plata Km. 4,Autopista,4,.,.,Moto-Cargas,Cargas,99,2016,41-60
Conductor,Moto,Masculino,30,2016-10-25,1,2016-10-25,00:39:00,0,Av San Martin Y Ladines,Avenida,11,-58.51537091,-34.59035925,Moto-Moto,Moto,100,2016,21-40
Ciclista,Bicicleta,Femenino,33,2016-10-27,1,2016-10-27,20:30:00,20,Av Cabildo Y Blanco Encalada,Avenida,13,-58.45909670,-34.55922742,Bicicleta-Cargas,Cargas,101,2016,21-40
Pasajero_Acompañante,Moto,Femenino,35,2016-10-28,1,2016-10-28,23:00:00,23,Av Presidente Figueroa Alcorta Y Av Dorrego,Avenida,14,-58.42008769,-34.56539579,Moto-Moto,Moto,102,2016,21-40
Pasajero_Acompañante,Pasajeros,Masculino,20,2016-10-31,1,2016-10-31,02:58:00,2,Av Juramento Y Vuelta De Obligado,Avenida,13,-58.45566399,-34.56147293,Pasajeros-Pasajeros,Pasajeros,103,2016,21-40
Conductor,Moto,Masculino,46,2016-11-05 00:00:00,1,2016-11-05,23:30:00,23,Av Del Libertador Y Av Ramos Mejia,Avenida,1,-58.37533517,-34.59276462,Moto-Pasajeros,Pasajeros,104,2016,41-60
Peaton,Peaton,Masculino,83,2016-11-07,1,2016-11-07,12:10:00,12,Av. Alte. Brown 984,Avenida,4,-58.35975012,-34.63343907,Peaton-Pasajeros,Pasajeros,105,2016,61-90
